
2024/12/10 (09:51:43) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/10 (09:51:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/10 (09:51:43) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/10 (09:51:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/10 (09:51:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/10 (10:25:05) | ===> btop++ v.1.4.0
2024/12/10 (10:25:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/10 (10:25:05) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/10 (10:25:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/10 (10:25:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/10 (10:25:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/10 (10:25:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/11 (11:43:15) | ===> btop++ v.1.4.0
2024/12/11 (11:43:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (11:43:15) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/11 (11:43:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (11:43:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/11 (11:43:15) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/11 (11:43:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/11 (11:44:01) | ===> btop++ v.1.4.0
2024/12/11 (11:44:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (11:44:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/11 (11:44:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (11:44:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/11 (11:44:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/11 (11:44:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/11 (11:46:59) | ===> btop++ v.1.4.0
2024/12/11 (11:46:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (11:46:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/11 (11:46:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (11:46:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/11 (11:46:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/11 (11:46:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/11 (20:55:27) | ===> btop++ v.1.4.0
2024/12/11 (20:55:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (20:55:27) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/11 (20:55:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (20:55:27) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/11 (20:55:27) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/11 (20:55:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/11 (21:23:48) | ===> btop++ v.1.4.0
2024/12/11 (21:23:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (21:23:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/11 (21:23:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (21:23:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/11 (21:23:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/11 (21:23:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/11 (21:35:10) | ===> btop++ v.1.4.0
2024/12/11 (21:35:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (21:35:10) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/11 (21:35:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (21:35:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/11 (21:35:10) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/11 (21:35:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/12 (08:34:53) | ===> btop++ v.1.4.0
